DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/29/2016,8:58,BROOKLYN,11229,40.609642,-73.9456,"(40.609642, -73.9456)",QUENTIN ROAD                    ,EAST 28 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3531754,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:55,BROOKLYN,11207,40.652752,-73.88629,"(40.652752, -73.88629)",PENNSYLVANIA AVENUE             ,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529339,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:54,,,40.825996,-73.92483,"(40.825996, -73.92483)",EAST 158 STREET                 ,WALTON AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3529814,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:50,MANHATTAN,10025,40.795925,-73.972725,"(40.795925, -73.972725)",WEST 97 STREET                  ,WEST END AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Turning Improperly,,,,3530051,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:50,BROOKLYN,11238,40.67834,-73.95521,"(40.67834, -73.95521)",FRANKLIN AVENUE                 ,PACIFIC STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3530489,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:49,MANHATTAN,10039,40.82808,-73.93679,"(40.82808, -73.93679)",,,251       WEST 154 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3538096,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,8:45,QUEENS,11411,40.69494,-73.73315,"(40.69494, -73.73315)",116 AVENUE                      ,227 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3529311,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:45,,,40.830154,-73.93964,"(40.830154, -73.93964)",WEST 155 STREET                 ,EDGECOMBE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3530270,PASSENGER VEHICLE,,,,
09/29/2016,8:45,MANHATTAN,10128,40.783245,-73.94473,"(40.783245, -73.94473)",EAST 96 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3530237,TAXI,PASSENGER VEHICLE,,,
09/29/2016,8:45,MANHATTAN,10001,40.7509,-73.99812,"(40.7509, -73.99812)",9 AVENUE                        ,WEST 30 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3531568,Van,,,,
09/29/2016,8:45,BROOKLYN,11230,40.631367,-73.972115,"(40.631367, -73.972115)",OCEAN PARKWAY                   ,LAWRENCE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3533735,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/29/2016,8:41,BRONX,10454,40.809574,-73.91806,"(40.809574, -73.91806)",BROOK AVENUE                    ,EAST 141 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3530093,Garbage or Refuse,,,,
09/29/2016,8:40,,,40.67578,-74.0014,"(40.67578, -74.0014)",HAMILTON AVENUE                 ,WEST 9 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3534035,PASSENGER VEHICLE,PICK-UP TRUCK,,,
09/29/2016,8:40,,,40.8451,-73.90931,"(40.8451, -73.90931)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3529614,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK
09/29/2016,8:40,BRONX,10463,40.88123,-73.8995,"(40.88123, -73.8995)",,,3444      BAILEY PLACE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3531166,PASSENGER VEHICLE,,,,
09/29/2016,8:38,QUEENS,11412,,,,NEWBURG STREET                  ,QUENCER ROAD,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3529852,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/29/2016,8:36,BROOKLYN,11213,40.66658,-73.93968,"(40.66658, -73.93968)",ALBANY AVENUE                   ,CARROLL STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3530376,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:36,BRONX,10460,40.839767,-73.86489,"(40.839767, -73.86489)",LELAND AVENUE                   ,GUERLAIN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529349,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:35,,,40.66626,-73.99596,"(40.66626, -73.99596)",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529359,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
09/29/2016,8:30,BROOKLYN,11205,40.692062,-73.95191,"(40.692062, -73.95191)",NOSTRAND AVENUE                 ,PULASKI STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,3529360,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,
09/29/2016,8:30,,,40.58723,-74.15858,"(40.58723, -74.15858)",,,27        ROCKNE STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3529376,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,8:30,,,40.86541,-73.8835,"(40.86541, -73.8835)",SOUTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3529579,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/29/2016,8:30,,,40.664917,-73.80613,"(40.664917, -73.80613)",NASSAU EXPRESSWAY               ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529346,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:30,,,40.715263,-73.976326,"(40.715263, -73.976326)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3529609,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
09/29/2016,8:30,,,40.73212,-73.82448,"(40.73212, -73.82448)",69 ROAD                         ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3529302,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/29/2016,8:30,,,40.729248,-73.82081,"(40.729248, -73.82081)",147 STREET                      ,70 ROAD,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3529668,PASSENGER VEHICLE,,,,
09/29/2016,8:30,BROOKLYN,11207,40.66906,-73.88658,"(40.66906, -73.88658)",BARBEY STREET                   ,BLAKE AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3529373,PASSENGER VEHICLE,,,,
09/29/2016,8:25,,,40.86226,-73.89589,"(40.86226, -73.89589)",EAST FORDHAM ROAD               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529410,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:21,MANHATTAN,10010,,,,,,469       E 23rd St                     ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3530219,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:20,BRONX,10453,40.8504,-73.90697,"(40.8504, -73.90697)",EAST TREMONT AVENUE             ,CRESTON AVENUE,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3529888,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:20,,,40.703163,-73.81662,"(40.703163, -73.81662)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3530443,PASSENGER VEHICLE,TAXI,,,
09/29/2016,8:20,,,40.608223,-74.1294,"(40.608223, -74.1294)",STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3529300,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/29/2016,8:20,QUEENS,11434,40.673008,-73.78809,"(40.673008, -73.78809)",ROCKAWAY BOULEVARD              ,150 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3530328,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:20,BROOKLYN,11249,40.715927,-73.961914,"(40.715927, -73.961914)",METROPOLITAN AVENUE             ,BERRY STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3529713,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,8:20,BROOKLYN,11212,40.664745,-73.90174,"(40.664745, -73.90174)",,,400       JUNIUS STREET                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3543879,PASSENGER VEHICLE,,,,
09/29/2016,8:15,,,40.72587,-73.76129,"(40.72587, -73.76129)",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3530444,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
09/29/2016,8:15,QUEENS,11373,40.748356,-73.875046,"(40.748356, -73.875046)",,,40-29     BENHAM STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3529983,PASSENGER VEHICLE,,,,
09/29/2016,8:12,,,40.63394,-74.14605,"(40.63394, -74.14605)",,,160       MORNINGSTAR ROAD              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529375,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:12,BRONX,10466,40.892963,-73.86101,"(40.892963, -73.86101)",CARPENTER AVENUE                ,EAST 231 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Backing Unsafely,,,,3529764,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:10,BROOKLYN,11206,40.706165,-73.94017,"(40.706165, -73.94017)",,,201       BOERUM STREET                 ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3532067,PASSENGER VEHICLE,,,,
09/29/2016,8:09,,,40.758644,-73.981346,"(40.758644, -73.981346)",,,AVENUE OF THE AMERICAS                  ,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3530068,PASSENGER VEHICLE,,,,
09/29/2016,8:06,QUEENS,11101,40.754208,-73.94938,"(40.754208, -73.94938)",VERNON BOULEVARD                ,QUEENS PLAZA SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3530683,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,8:05,,,40.81896,-73.92712,"(40.81896, -73.92712)",GRAND CONCOURSE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3536865,PASSENGER VEHICLE,,,,
09/29/2016,8:00,QUEENS,11354,40.763424,-73.83016,"(40.763424, -73.83016)",NORTHERN BOULEVARD              ,LINDEN PLACE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3530714,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:00,,,40.742893,-73.77919,"(40.742893, -73.77919)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3534212,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:00,,,40.721493,-73.82017,"(40.721493, -73.82017)",VLEIGH PLACE                    ,77 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3529665,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:00,,,40.699955,-73.98682,"(40.699955, -73.98682)",SANDS STREET                    ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3529661,PASSENGER VEHICLE,,,,
09/29/2016,8:00,,,40.664227,-73.94547,"(40.664227, -73.94547)",BROOKLYN AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3534316,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/29/2016,8:00,QUEENS,11433,40.692482,-73.79599,"(40.692482, -73.79599)",155 STREET                      ,109 AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3531411,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:00,QUEENS,11428,40.723892,-73.74327,"(40.723892, -73.74327)",217 STREET                      ,91 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529952,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,8:00,QUEENS,11413,40.68471,-73.75264,"(40.68471, -73.75264)",,,193-51    WILLIAMSON AVENUE             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3529851,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
09/29/2016,8:00,QUEENS,11357,40.787926,-73.810776,"(40.787926, -73.810776)",,,14-59     CLINTONVILLE STREET           ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3529533,PASSENGER VEHICLE,,,,
09/29/2016,8:00,MANHATTAN,10018,40.755802,-73.99083,"(40.755802, -73.99083)",,,616       8 AVENUE                      ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3530896,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,8:00,MANHATTAN,10012,40.723923,-74.00062,"(40.723923, -74.00062)",,,129       SPRING STREET                 ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3529707,PASSENGER VEHICLE,,,,
09/29/2016,8:00,BROOKLYN,11229,40.595085,-73.9486,"(40.595085, -73.9486)",EAST 22 STREET                  ,AVENUE W,,0,0,0,0,0,0,0,0,Backing Unsafely,Passing or Lane Usage Improper,,,,3531723,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,8:00,BRONX,10457,40.84373,-73.90858,"(40.84373, -73.90858)",EAST 173 STREET                 ,EASTBURN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529813,PASSENGER VEHICLE,,,,
09/29/2016,7:59,,,,,,WILLIS AVENUE BRIDGE APPROACH   ,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3530100,PASSENGER VEHICLE,,,,
09/29/2016,7:55,MANHATTAN,10019,40.765907,-73.992744,"(40.765907, -73.992744)",,,535       WEST 51 STREET                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3529331,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,7:55,BROOKLYN,11221,40.68902,-73.92122,"(40.68902, -73.92122)",BROADWAY                        ,HOWARD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3530141,PASSENGER VEHICLE,,,,
09/29/2016,7:50,QUEENS,11355,40.741943,-73.818855,"(40.741943, -73.818855)",59 AVENUE                       ,150 STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,3529534,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
09/29/2016,7:47,MANHATTAN,10019,,,,WEST 55 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,,,,3530058,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
